Genome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,8,8,8,8,0,13,11,11,8,0,8,9,12,11,8,16,8,0,16,16,16,16,16,8,16,16,16,16,16,8,0,0,16,16,16,24,8,23,21,25,24,23,5,20,24,0,16,23,21,23,25,24,24,21,61,60,5,24,26,8,16,25,18,60,60,12,28,0,16,24,22,31,1,63,63,26,63,20,63,19,24,24,32,28,8,53,16,30,31,54,28,55,63,63,63,35,97,63,63,16
1,8,8,0,0,8,11,8,8,0,0,9,3,3,16,10,10,0,8,10,13,16,16,16,16,16,16,8,16,16,18,16,20,24,27,12,8,16,20,16,16,16,24,16,52,13,21,21,28,13,23,26,16,24,8,19,60,24,52,16,60,8,8,24,0,24,0,24,28,28,54,0,63,28,28,16,16,63,63,63,27,55,63,0,8,29,26,27,30,28,32,32,14,24,47,16,63,16,16,63,63
2,8,8,0,8,0,8,0,8,12,16,11,8,10,0,16,0,8,8,14,8,16,0,0,8,16,16,16,16,16,16,16,16,8,16,20,8,20,16,27,20,8,20,16,24,4,17,5,23,16,24,23,12,24,22,25,24,8,16,23,26,23,0,16,61,60,63,14,44,23,8,28,19,30,63,8,8,63,63,31,17,8,8,63,21,30,21,63,46,63,27,63,61,55,32,63,63,16,55,16,63
3,8,8,8,0,0,8,0,8,16,13,8,11,16,11,16,8,0,16,9,13,13,18,16,10,16,8,16,8,16,16,16,23,16,20,19,27,16,12,20,8,8,8,8,10,16,16,60,26,53,0,16,5,3,8,23,16,24,60,60,22,60,60,24,29,63,16,20,60,60,8,0,23,8,63,63,8,16,24,10,8,25,28,63,63,63,54,24,25,63,63,55,63,63,28,13,27,63,60,16,61
4,8,8,0,0,8,8,8,16,12,11,0,9,0,11,13,11,4,8,16,16,15,16,0,16,0,8,8,16,16,16,0,16,31,22,16,24,26,27,16,16,22,16,0,20,16,24,24,8,4,28,24,22,16,23,25,60,60,18,60,60,24,54,60,24,22,63,8,19,63,13,25,19,15,63,63,63,63,8,63,17,63,25,46,8,63,27,31,63,35,16,63,53,63,94,16,46,16,28,63,54
5,8,8,8,0,8,8,13,10,12,8,13,15,14,12,8,16,8,0,14,9,16,8,11,16,16,16,16,16,16,8,16,16,0,16,8,16,25,20,16,6,24,20,8,16,16,8,16,16,23,20,52,24,16,60,16,60,18,22,24,60,22,63,24,24,16,60,28,8,8,8,30,54,63,5,26,0,20,63,63,63,63,55,63,55,63,24,63,62,45,63,16,32,27,92,36,55,28,16,60,16
6,8,8,0,8,8,0,12,14,11,0,8,15,13,16,0,16,8,0,0,9,0,16,0,17,0,17,16,24,16,8,16,0,16,16,20,18,16,26,16,16,22,8,8,16,14,19,24,16,23,24,16,16,57,16,25,24,60,60,60,60,8,24,61,24,27,63,61,63,19,29,22,25,8,29,63,63,63,63,26,63,27,19,63,28,63,28,63,55,55,63,55,63,54,24,16,16,29,8,63,16
7,8,8,13,0,0,11,8,9,8,15,0,12,0,13,0,8,14,15,14,16,16,12,16,16,16,16,0,16,21,16,8,21,8,16,21,16,20,20,21,23,8,16,25,16,16,60,24,24,8,24,16,16,16,8,25,24,24,22,60,19,60,17,8,28,21,24,60,23,21,16,8,63,63,63,63,8,32,31,0,24,63,63,63,63,46,54,63,35,47,31,27,63,31,46,37,32,16,32,52,60
8,8,8,8,8,0,8,10,8,10,8,0,0,11,13,13,0,8,0,16,16,16,16,8,10,16,16,16,16,17,8,16,16,16,20,16,16,12,29,20,24,24,16,24,17,0,24,8,4,16,17,16,26,8,19,16,24,23,24,61,8,24,52,60,16,63,16,63,63,27,8,8,25,27,22,29,18,8,63,8,63,63,22,63,28,46,55,20,5,63,37,55,0,16,29,29,20,14,63,63,63
9,8,0,8,0,11,0,8,10,0,8,8,8,16,0,16,16,16,16,16,15,16,16,0,8,16,8,16,16,16,8,16,8,0,16,32,24,20,19,8,8,16,19,8,44,18,22,21,20,26,22,24,16,52,23,8,25,60,19,25,8,24,60,24,63,61,14,8,63,63,32,21,63,47,46,63,29,20,8,25,18,21,45,54,28,63,46,29,24,29,55,30,63,26,16,8,63,63,30,63,33
